127.0.0.1 - - [27/Jun/2017:11:05:32 +0200] "GET / HTTP/1.1" 404 990
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:05:32 +0200] "GET /HelloWebApp/ HTTP/1.1" 500 1622
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:08:26 +0200] "GET /HelloWebApp/ HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:08:33 +0200] "GET /HelloWebApp/ HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:08:54 +0200] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:09:04 +0200] "GET null null" 400 -
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:09:17 +0200] "GET /HelloWebApp/?nombre=I%C3%B1igo HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:09:30 +0200] "GET /HelloWebApp/?nombre=I%C3%B1igo&edad=23 HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:10:00 +0200] "GET /HelloWebApp/?nombre=I%C3%B1igo&edad=23 HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:10:32 +0200] "GET /HelloWebApp/?nombre=I%C3%B1igo HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:54:10 +0200] "GET /HelloWebApp/?nombre=I%C3%B1igo HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:56:18 +0200] "GET /HelloWebApp/?nombre=I%C3%B1igo HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:56:22 +0200] "GET /HelloWebApp/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:56:46 +0200] "GET /HelloWebApp/?nombre=Galder HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:57:05 +0200] "GET /HelloWebApp/?nombre=Galder HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [27/Jun/2017:11:57:15 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:02:40 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 500 1846
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:03:30 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:04:00 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:04:04 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:05:14 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:05:57 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:06:01 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:06:04 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:06:18 +0200] "GET /HelloWebApp/?nombre=Galder&edad=-3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:08:58 +0200] "GET /HelloWebApp/?nombre=Galder&edad=-3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:09:02 +0200] "GET /HelloWebApp/?nombre=Galder&edad=-3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:09:55 +0200] "GET /HelloWebApp/?nombre=Galder&edad=-3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:09:58 +0200] "GET /HelloWebApp/?nombre=Galder&edad=-3 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:22:00 +0200] "GET /HelloWebApp/?nombre=Galder&edad=30 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [27/Jun/2017:12:23:42 +0200] "GET /HelloWebApp/?nombre=Galder HTTP/1.1" 200 283
